Symbol,Market_cap,Enterprise_value,Price_to_sale,Price_to_book,Value_to_revenue,Value_to_EBITDA,Profit_margin,Operating_margin,Return_on_asset,Return_on_equity,Revenue,Revenue_per_share,Quarterly_revenue_growth,Gross_profit,EBITDA,Netincome_avi_to_common,Dilutted_eps,Total_cash,Total_cash_per_share,Total_debt,Total_debt_to_equity,Current_ratio,Book_value_per_share,Operating_cash_flow,Levered_Free_cash_flow,current_price,last_quarter_price,last_year_price
CZR,24030000000.0,49180000000.0,3.05,4.68,18.32,91.41,-0.13570000000000002,0.16879999999999998,0.0236,-0.2659,8400000000.0,39.96,0.861,1700000000.0,2520000000.0,-1110000000.0,-5.42,1070000000.0000001,5.01,26980000000.0,544.74,1.19,22.85,548000000.0,3050000000.0,112.27999877929688,103.75,56.060001373291016
DAIO,56290000.0,44960000.0,2.33,2.89,6.68,145.98,-0.0817,-0.0256,-0.0144,-0.09939999999999999,24420000.0,2.88,0.132,11110000.0,85000.0,-2000000.0,-0.237,14240000.0,1.65,1500000.0,7.6,3.9,2.29,2240000.0,2290000.0,6.53000020980835,6.809999942779541,3.180000066757202
DCPH,1980000000.0,1620000000.0,23.29,4.44,69.64,-20.49,0.0,-3.0041,-0.3004,-0.5778,91440000.0,1.58,0.503,-157110000.0,-271750000.0,-274310000.0,-4.75,342270000.0,5.85,29830000.0,7.84,5.08,6.52,-222780000.0,-134199999.99999999,33.97999954223633,36.61000061035156,51.29999923706055
DCT,6140000000.0,5790000000.0,24.77,8.38,81.74,8870.0,-0.065,-0.048,-0.0092,-0.0231,260350000.00000003,1.99,0.215,150260000.0,6980000.0,-16930000.0,-0.13,377640000.0,2.86,25380000.0,3.47,5.15,5.54,-8690000.0,-186500.0,44.2400016784668,43.5099983215332,45.43000030517578
DCTH,76800000.0,60180000.0,30.84,5.07,115.28,-9.02,0.0,-13.7431,-0.6583,-3.6436,1950000.0,0.3,0.12,1010000.0,-26700000.0,-27330000.0,-4.25,24860000.0,3.38,16160000.0,137.84,6.03,1.59,-21230000.0,-14960000.0,10.4399995803833,12.609999656677246,11.609999656677246
DDOG,44090000000.0,43470000000.0,56.44,48.29,160.71,6850.0,-0.0501,-0.0415,-0.011399999999999999,-0.0466,880120000.0,2.87,0.7490000000000001,473460000.0,-16649999.999999998,-44070000.0,-0.14,1470000000.0,4.7,807260000.0,84.32,3.94,3.07,194580000.0,174070000.0,141.35000610351562,104.08000183105469,102.16000366210938
DGII,720200000.0,640680000.0,2.22,1.55,8.1,70.76,0.0336,0.058899999999999994,0.019799999999999998,0.0246,308630000.0,9.61,0.081,171160000.0,39070000.0,10370000.0,0.31,152430000.0,4.43,66800000.0,14.14,4.18,13.79,57720000.0,57500000.0,21.020000457763672,20.110000610351562,15.630000114440918
DGLY,63690000.0,6710000.0,3.98,1.36,1.45,0.82,1.9365999999999999,-0.8708,-0.11900000000000001,0.6814,12440000.0,0.28,0.293,4059999.9999999995,-10530000.0,24090000.0,0.548,40740000.0,0.77,6570000.0,11.69,2.1,1.07,-15390000.0,-2260000.0,1.2100000381469727,1.7999999523162842,2.140000104904175
DHC,810190000.0,4320000000.0,0.54,0.34,12.8,94.31,-0.1448,-0.0039000000000000003,-0.0005,-0.0799,1430000000.0,6.02,-0.14400000000000002,394860000.0,255490000.0,-207300000.0,-0.871,794740000.0,3.33,4300000000.0,178.39,1.09,9.62,-13630000.0,246900000.0,3.3811259269714355,4.158285140991211,3.475520610809326
DHIL,557240000.0,469480000.0,3.72,2.65,8.53,16.37,0.40509999999999996,0.3887,0.1444,0.3191,174180000.0,54.81,0.7659999999999999,62540000.0,68870000.0,70570000.0,22.21,98580000.0,31.08,2100000.0,0.87,3.49,71.89,36890000.0,46740000.0,160.4658203125,152.0044708251953,104.92888641357422
